Platform,Channel,KPI, MTD_Actual , Full_Month_Target ,Total_Days_in_Month,Days_Passed,,,,,,,,,,
Customer Portal,LKA,Registered Customers,"1,686.00","1,689",24,15,,,,,,,,,,
Customer Portal,LKA,Active Customers,572,879,24,15,,,,,,,,,,
Customer Portal,LKA,Delivered Orders,"1,275","2,650.00",24,15,,,,,,,,,,
Customer Portal,LKA,Volume UC,"150,453.00","265,084.00",24,15,,,,,,,,,,
Customer Portal,LKA,NSR,"9,921,614.81","14,579,627.00",24,15,,,,,,,,,,
Customer Portal,LKA,Active Placed,659,979,24,15,,,,,,,,,,
Customer Portal,LKA,Digital Order Share %,15.99,,24,15,,,,,,,,,,
Customer Portal,LKA,Digital Volume Share %,12.73,,24,15,,,,,,,,,,
Customer Portal,DSD,Registered Customers,"10,705.00","10,550.00",24,15,,,,,,,,,,
Customer Portal,DSD,Active Customers,"3,657.00","4,994",24,15,,,,,,,,,,
Customer Portal,DSD,Delivered Orders,"5,532.00","8,518.27",24,15,,,,,,,,,,
Customer Portal,DSD,Volume UC,"416,113.31","527,028.21",24,15,,,,,,,,,,
Customer Portal,DSD,NSR,"28,013,922.51","30,904,878.84",24,15,,,,,,,,,,
Customer Portal,DSD,Active Placed,"3,249.00","5,350.00",24,15,,,,,,,,,,
Customer Portal,DSD,Digital Order Share %,4.58,,24,15,,,,,,,,,,
Customer Portal,DSD,Digital Volume Share %,8.1,,24,15,,,,,,,,,,
Customer Portal,WHS,Registered Customers,"1,595.00","2,228.00",24,15,,,,,,,,,,
Customer Portal,WHS,Active Customers,906,"1,625.84",24,15,,,,,,,,,,
Customer Portal,WHS,Delivered Orders,"4,550","10,567.95",24,15,,,,,,,,,,
Customer Portal,WHS,Volume UC,"1,406,652.74","2,483,468.00",24,15,,,,,,,,,,
Customer Portal,WHS,NSR,"123,257,002.31","226,495,145.86",24,15,,,,,,,,,,
Customer Portal,WHS,Active Placed,600,1630,24,15,,,,,,,,,,
Customer Portal,WHS,Digital Order Share %,32.83,,24,15,,,,,,,,,,
Customer Portal,WHS,Digital Volume Share %,25.09,,24,15,,,,,,,,,,
Customer Portal,HORECA,Registered Customers,219,320,24,15,,,,,,,,,,
Customer Portal,HORECA,Active Customers,86,160,24,15,,,,,,,,,,
Customer Portal,HORECA,Delivered Orders,170,640,24,15,,,,,,,,,,
Customer Portal,HORECA,Volume UC,"14,476.42","22,607.00",24,15,,,,,,,,,,
Customer Portal,HORECA,NSR,"1,002,332.14","1,227,079.00",24,15,,,,,,,,,,
Customer Portal,HORECA,Active Placed,93,,24,15,,,,,,,,,,
Customer Portal,HORECA,Digital Order Share %,3.93,,24,15,,,,,,,,,,
Customer Portal,HORECA,Digital Volume Share %,0.94,,24,15,,,,,,,,,,
Chatbot,NA,Registered Customers,"3,193","4,071.00",24,15,,,,,,,,,,
Chatbot,NA,Active Customers,"1,171","2,147",24,15,,,,,,,,,,
Chatbot,NA,Delivered Orders,"2,345","5,323.47",24,15,,,,,,,,,,
Chatbot,NA,Volume UC,"251,613.50","464,709.43",24,15,,,,,,,,,,
Chatbot,NA,NSR,"14,999,259.31","37,470,469.33",24,15,,,,,,,,,,
Chatbot,NA,Active Placed,"1,280","2,400",24,15,,,,,,,,,,
Chatbot,NA,Digital Order Share %,20,,24,15,,,,,,,,,,
Chatbot,NA,Digital Volume Share %,11,,24,15,,,,,,,,,,
Customer Portal,Total,Digital Order Share %,7.85,,24,15,,,,,,,,,,
Customer Portal,Total,Digital Volume Share %,14.75,,24,15,,,,,,,,,,
